QID SF SYS ITER TIME
10 1000 cmr_ans_display_time 2 0.00021999999999999998
10 1000 cmr_ans_display_time 3 0.000233
10 1000 cmr_ans_display_time 4 0.000252
11 1000 cmr_time 0 7.031000000000001
11 1000 spark_time 0 5.273
11 1000 cmr_time 1 2.391
11 1000 spark_time 1 3.15
11 1000 cmr_time 2 1.613
11 1000 spark_time 2 3.674
11 1000 cmr_time 3 1.6280000000000001
11 1000 spark_time 3 2.778
11 1000 cmr_time 4 1.871
11 1000 spark_time 4 2.212
11 1000 cmr_ans_display_time 0 0.000489
11 1000 cmr_ans_display_time 1 0.000245
11 1000 cmr_ans_display_time 2 0.000243
11 1000 cmr_ans_display_time 3 0.00024599999999999996
11 1000 cmr_ans_display_time 4 0.000307
12 1000 cmr_time 0 21.255
12 1000 spark_time 0 20.06
12 1000 cmr_time 1 13.783
12 1000 spark_time 1 15.21
12 1000 cmr_time 2 13.187
12 1000 spark_time 2 15.346
12 1000 cmr_time 3 14.548
12 1000 spark_time 3 19.766000000000002
12 1000 cmr_time 4 13.753
12 1000 spark_time 4 15.251
12 1000 cmr_ans_display_time 0 0.00014099999999999998
12 1000 cmr_ans_display_time 1 3.5e-05
12 1000 cmr_ans_display_time 2 3.7999999999999995e-05
12 1000 cmr_ans_display_time 3 2.7e-05
12 1000 cmr_ans_display_time 4 2.4e-05
13 1000 cmr_time 0 71.755
13 1000 spark_time 0 153.269
13 1000 cmr_time 1 48.742000000000004
13 1000 spark_time 1 145.661
13 1000 cmr_time 2 50.036
13 1000 spark_time 2 144.525
13 1000 cmr_time 3 50.086
13 1000 spark_time 3 150.55
13 1000 cmr_time 4 48.97
13 1000 spark_time 4 140.877
13 1000 cmr_ans_display_time 0 0.00028199999999999997
13 1000 cmr_ans_display_time 1 0.000356
13 1000 cmr_ans_display_time 2 0.000272
13 1000 cmr_ans_display_time 3 0.00020099999999999998
13 1000 cmr_ans_display_time 4 0.00023799999999999998
14 1000 cmr_time 0 69.493
14 1000 spark_time 0 161.066
14 1000 cmr_time 1 50.015
14 1000 spark_time 1 147.66
14 1000 cmr_time 2 47.324
14 1000 spark_time 2 141.829
14 1000 cmr_time 3 48.355000000000004
14 1000 spark_time 3 148.141
14 1000 cmr_time 4 47.781
14 1000 spark_time 4 137.958
14 1000 cmr_ans_display_time 0 0.000327
14 1000 cmr_ans_display_time 1 0.00039
14 1000 cmr_ans_display_time 2 0.000381
